Calls,"June 17th, 2025 7:24PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250711C00350000,5/30/2025 2:58 PM,350,185.54,201.80,205.25,0.00,0.00%,1,1,171.34%
MSFT250711C00355000,5/29/2025 12:00 PM,355,157.20,177.05,180.35,0.00,0.00%,2,6,150.90%
MSFT250711C00365000,5/20/2025 2:31 PM,365,127.23,146.90,150.30,0.00,0.00%,-,3,122.44%
MSFT250711C00380000,2025-06-06 15:19:00,380,126.84,132.15,135.10,0.00,0.00%,3,6,110.25%
MSFT250711C00385000,2025-06-06 14:01:00,385,117.45,122.15,125.15,0.00,0.00%,4,5,102.44%
MSFT250711C00390000,6/17/2025 11:22 AM,390,117.37,117.50,119.90,7.37,6.70%,1,6,99.10%
MSFT250711C00395000,2025-06-06 13:37:00,395,106.97,111.75,115.50,0.00,0.00%,3,7,94.09%
MSFT250711C00400000,2025-05-06 15:45:00,400,99.66,107.25,110.35,0.00,0.00%,3,4,92.33%
MSFT250711C00405000,2025-06-06 15:26:00,405,97.17,101.95,105.25,0.00,0.00%,10,16,85.91%
MSFT250711C00410000,6/16/2025 3:58 PM,410,98.61,97.20,100.15,0.00,0.00%,2,9,82.93%
MSFT250711C00415000,6/16/2025 11:44 AM,415,96.03,92.10,95.50,0.00,0.00%,1,8,80.44%
MSFT250711C00420000,6/16/2025 12:28 PM,420,90.40,87.20,90.25,0.00,0.00%,1,16,75.74%
MSFT250711C00425000,6/13/2025 10:10 AM,425,81.27,82.00,85.50,-1.73,-2.08%,1,88,72.16%
MSFT250711C00430000,6/13/2025 12:07 PM,430,75.65,77.95,79.45,-1.40,-1.82%,5,225,67.80%
MSFT250711C00435000,6/17/2025 9:35 AM,435,71.61,72.25,75.50,0.95,1.34%,1,30,65.67%
MSFT250711C00440000,6/17/2025 9:43 AM,440,66.15,67.70,70.15,-4.70,-6.63%,1,58,62.24%
MSFT250711C00445000,6/17/2025 11:44 AM,445,63.45,63.00,64.50,-0.83,-1.29%,2,93,56.86%
MSFT250711C00450000,6/17/2025 11:51 AM,450,58.14,58.05,59.65,-1.36,-2.29%,2,235,53.89%
MSFT250711C00455000,6/17/2025 10:34 AM,455,51.90,53.20,54.15,-2.70,-4.95%,1,103,52.31%
MSFT250711C00460000,6/16/2025 12:47 PM,460,48.39,48.30,49.45,-2.66,-5.21%,1,328,50.34%
MSFT250711C00465000,6/17/2025 9:54 AM,465,40.68,43.35,44.70,-3.70,-8.34%,2,163,47.77%
MSFT250711C00470000,6/17/2025 10:18 AM,470,36.85,37.75,39.80,-4.77,-11.46%,4,148,44.13%
MSFT250711C00475000,6/17/2025 10:07 AM,475,33.80,33.60,34.70,-1.55,-4.38%,4,222,39.33%
MSFT250711C00480000,6/17/2025 12:17 PM,480,29.25,28.20,29.45,-1.25,-4.10%,21,267,33.77%
MSFT250711C00485000,6/16/2025 3:20 PM,485,27.15,25.30,28.20,0.00,0.00%,2,7,37.39%
MSFT250711C00490000,6/17/2025 12:20 PM,490,24.47,24.10,24.85,-0.38,-1.53%,41,359,31.32%
MSFT250711C00495000,6/16/2025 3:24 PM,495,19.75,21.00,22.25,-2.95,-13.00%,1,46,28.61%
MSFT250711C00500000,6/17/2025 12:22 PM,500,19.80,19.45,19.95,-1.00,-4.81%,25,1.135,27.16%
MSFT250711C00505000,6/17/2025 11:00 AM,505,15.85,16.95,17.70,-2.29,-12.62%,1,74,25.78%
MSFT250711C00510000,6/17/2025 12:36 PM,510,15.72,14.95,15.65,-0.05,-0.32%,53,945,24.96%
MSFT250711C00515000,6/17/2025 12:16 PM,515,12.90,13.10,13.30,-0.80,-5.84%,11,571,22.86%
MSFT250711C00520000,6/17/2025 12:43 PM,520,11.50,11.15,11.30,-0.45,-3.77%,119,1.276,21.75%
MSFT250711C00525000,6/17/2025 12:21 PM,525,9.20,9.15,9.30,-0.50,-5.15%,70,350,20.36%
MSFT250711C00530000,6/17/2025 12:40 PM,530,7.50,7.50,7.65,-0.42,-5.30%,845,3.474,19.70%
MSFT250711C00535000,6/17/2025 12:41 PM,535,6.10,5.95,6.10,-0.05,-0.81%,594,10.471,18.92%
MSFT250711C00540000,6/17/2025 12:45 PM,540,4.70,4.65,4.75,-0.10,-2.08%,1.231,4.631,18.26%
MSFT250711C00550000,6/17/2025 12:41 PM,550,3.45,3.40,3.50,-0.10,-2.82%,476,432,17.37%
MSFT250711C00555000,6/17/2025 12:44 PM,555,2.56,2.50,2.54,-0.35,-12.03%,862,1.728,16.81%
MSFT250711C00560000,6/17/2025 12:42 PM,560,1.86,1.78,1.82,0.16,9.41%,232,431,16.48%
MSFT250711C00580000,6/17/2025 12:47 PM,580,1.22,1.18,1.20,0.01,0.83%,547,3.648,15.90%
MSFT250711C00600000,6/17/2025 11:50 AM,600,0.71,0.80,0.82,-0.28,-28.28%,197,1.135,15.78%
MSFT250620C00320000,6/17/2025 12:38 PM,320,0.54,0.50,0.53,-0.09,-14.29%,658,916,15.56%
MSFT250620C00325000,6/17/2025 12:47 PM,325,0.22,0.20,0.22,-0.06,-22.22%,1.093,4.631,15.50%
MSFT250620C00330000,6/17/2025 11:54 AM,330,0.10,0.08,0.10,-0.04,-28.57%,69,791,15.92%
MSFT250620C00335000,6/17/2025 10:15 AM,335,0.06,0.04,0.06,-0.01,-14.29%,2,280,16.99%
MSFT250620C00340000,6/17/2025 9:32 AM,340,0.03,0.02,0.04,-0.02,-40.00%,5,94,18.16%
MSFT250620C00345000,6/16/2025 3:49 PM,345,0.02,0.01,0.03,0.00,0.00%,17,187,19.53%
MSFT250620C00350000,6/16/2025 3:50 PM,350,0.02,0.01,0.03,0.00,0.00%,2,19,21.39%
MSFT250620C00355000,6/17/2025 11:04 AM,355,0.03,0.00,0.02,0.02,200.00%,1,155,22.27%
MSFT250620C00360000,2025-06-06 13:44:00,360,0.03,0.00,0.02,0.00,0.00%,1,4,24.02%
MSFT250620C00365000,6/13/2025 10:14 AM,365,0.02,0.00,0.02,0.00,0.00%,3,96,25.78%
MSFT250620C00370000,2025-10-06 10:23:00,370,0.02,0.00,0.02,0.00,0.00%,12,62,27.54%
MSFT250620C00375000,6/13/2025 2:02 PM,375,0.01,0.00,0.01,0.00,0.00%,3,32,27.34%
MSFT250620C00380000,6/16/2025 9:30 AM,380,0.02,0.00,0.01,0.00,0.00%,2,10,42.19%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT250711P00305000,5/15/2025 12:51 PM,305,0.03,0.00,0.02,0.00,0.00%,-,1,107.81%
MSFT250711P00310000,2025-12-06 11:22:00,310,0.01,0.00,0.01,0.00,0.00%,5,15,96.88%
MSFT250711P00340000,2025-10-06 11:59:00,340,0.02,0.00,0.01,0.00,0.00%,12,65,93.75%
MSFT250711P00345000,2025-10-06 11:59:00,345,0.02,0.00,0.01,0.00,0.00%,26,59,90.63%
MSFT250711P00350000,2025-10-06 11:59:00,350,0.02,0.00,0.01,0.00,0.00%,61,199,87.50%
MSFT250711P00360000,2025-10-06 12:00:00,360,0.02,0.00,0.01,0.00,0.00%,11,30,84.38%
MSFT250711P00365000,6/13/2025 2:07 PM,365,0.02,0.00,0.01,0.00,0.00%,41,201,81.25%
MSFT250711P00370000,5/19/2025 2:35 PM,370,0.07,0.00,0.01,0.00,0.00%,1,1,78.13%
MSFT250711P00375000,2025-11-06 09:45:00,375,0.01,0.00,0.01,0.00,0.00%,5,10,76.56%
MSFT250711P00380000,2025-09-06 10:14:00,380,0.04,0.00,0.01,0.00,0.00%,4,191,73.44%
MSFT250711P00385000,2025-02-06 10:06:00,385,0.05,0.00,0.01,0.00,0.00%,2,15,71.88%
MSFT250711P00390000,2025-09-06 09:48:00,390,0.03,0.00,0.01,0.00,0.00%,10,34,68.75%
MSFT250711P00395000,2025-09-06 11:23:00,395,0.03,0.00,0.02,0.00,0.00%,10,21,70.31%
MSFT250711P00400000,2025-09-06 15:55:00,400,0.03,0.00,0.02,0.00,0.00%,1,68,67.19%
MSFT250711P00405000,6/16/2025 3:35 PM,405,0.01,0.00,0.02,0.00,0.00%,20,44,64.84%
MSFT250711P00410000,6/13/2025 12:57 PM,410,0.03,0.00,0.02,0.00,0.00%,4,23,62.50%
MSFT250711P00415000,6/13/2025 1:39 PM,415,0.04,0.00,0.02,0.00,0.00%,30,314,59.38%
MSFT250711P00420000,6/13/2025 1:39 PM,420,0.04,0.00,0.02,0.00,0.00%,2,28,57.03%
MSFT250711P00425000,6/17/2025 12:01 PM,425,0.01,0.01,0.02,0.00,0.00%,2,214,56.64%
MSFT250711P00430000,6/16/2025 3:53 PM,430,0.02,0.01,0.02,0.00,0.00%,11,71,53.91%
MSFT250711P00435000,6/17/2025 10:19 AM,435,0.02,0.02,0.03,-0.01,-33.33%,50,133,54.30%
MSFT250711P00440000,6/16/2025 1:13 PM,440,0.04,0.02,0.04,0.00,0.00%,12,3.044,52.34%
MSFT250711P00445000,6/17/2025 12:01 PM,445,0.04,0.03,0.04,0.00,0.00%,2,521,50.78%
MSFT250711P00450000,6/16/2025 1:12 PM,450,0.05,0.03,0.05,0.00,0.00%,1,316,50.00%
MSFT250711P00455000,6/17/2025 11:10 AM,455,0.05,0.04,0.06,-0.01,-16.67%,5,295,48.34%
MSFT250711P00460000,6/17/2025 10:33 AM,460,0.07,0.05,0.07,0.00,0.00%,1,1.376,46.48%
MSFT250711P00465000,6/16/2025 10:58 AM,465,0.08,0.06,0.08,0.00,0.00%,25,578,44.53%
MSFT250711P00470000,6/17/2025 11:57 AM,470,0.09,0.08,0.09,0.00,0.00%,263,1.095,42.48%
MSFT250711P00475000,6/17/2025 12:17 PM,475,0.09,0.09,0.11,-0.03,-25.00%,7,606,40.82%
MSFT250711P00480000,6/17/2025 11:19 AM,480,0.12,0.11,0.13,-0.03,-20.00%,11,610,38.97%
MSFT250711P00485000,6/17/2025 11:56 AM,485,0.14,0.14,0.16,-0.03,-17.65%,154,507,37.31%
MSFT250711P00490000,6/17/2025 11:35 AM,490,0.19,0.17,0.19,-0.01,-5.00%,9,834,35.40%
MSFT250711P00495000,6/17/2025 12:10 PM,495,0.20,0.21,0.23,-0.05,-20.00%,28,399,33.55%
MSFT250711P00500000,6/17/2025 12:45 PM,500,0.27,0.25,0.27,-0.04,-12.90%,104,783,31.49%
MSFT250711P00505000,6/17/2025 12:43 PM,505,0.31,0.31,0.33,-0.06,-16.22%,32,382,29.54%
MSFT250711P00510000,6/17/2025 11:26 AM,510,0.38,0.36,0.39,-0.07,-15.56%,166,644,27.37%
MSFT250620P00295000,6/17/2025 12:40 PM,295,0.45,0.48,0.49,-0.10,-18.18%,201,1.228,25.39%
MSFT250620P00300000,6/17/2025 12:24 PM,300,0.51,0.53,0.55,-0.07,-12.07%,79,76,24.38%
MSFT250620P00305000,6/17/2025 11:31 AM,305,0.61,0.60,0.62,-0.06,-8.96%,85,1.437,23.35%
MSFT250620P00310000,6/17/2025 11:25 AM,310,0.67,0.69,0.71,-0.06,-8.22%,34,614,22.38%
MSFT250620P00315000,6/17/2025 12:03 PM,315,0.81,0.79,0.82,-0.05,-6.02%,117,1.405,21.41%
MSFT250620P00320000,6/17/2025 12:45 PM,320,0.95,0.93,0.96,-0.03,-3.06%,347,237,20.47%
MSFT250620P00325000,6/17/2025 12:44 PM,325,1.10,1.11,1.15,0.02,1.85%,1.264,1.918,19.64%
MSFT250620P00330000,6/17/2025 12:45 PM,330,1.34,1.32,1.36,0.03,2.29%,112,505,18.69%
MSFT250620P00335000,6/17/2025 12:44 PM,335,1.68,1.64,1.67,0.07,4.35%,388,1.338,17.95%
MSFT250620P00340000,6/17/2025 12:31 PM,340,2.04,2.02,2.07,0.09,4.62%,223,272,17.24%
MSFT250620P00345000,6/17/2025 12:47 PM,345,2.52,2.52,2.57,0.31,14.03%,1.144,1.5,16.54%
MSFT250620P00350000,6/17/2025 12:43 PM,350,3.00,3.10,3.25,0.19,6.76%,886,773,16.02%
MSFT250620P00355000,6/17/2025 12:38 PM,355,3.65,3.90,4.00,0.15,4.29%,543,638,15.22%
MSFT250620P00360000,6/17/2025 12:44 PM,360,4.95,4.80,4.90,0.50,11.24%,467,623,14.35%
MSFT250620P00365000,6/17/2025 12:46 PM,365,6.00,5.95,6.10,0.10,1.69%,1.296,732,13.75%
MSFT250620P00370000,6/17/2025 12:09 PM,370,7.55,7.25,7.45,0.61,8.79%,111,189,12.89%
MSFT250620P00375000,6/17/2025 12:32 PM,375,8.80,8.85,9.05,0.05,0.57%,65,232,11.96%
MSFT250620P00380000,6/17/2025 10:14 AM,380,12.65,10.60,10.80,1.94,18.11%,30,33,10.32%
MSFT250620P00385000,6/17/2025 11:35 AM,385,12.75,12.45,13.15,0.54,4.42%,36,86,10.94%
MSFT250620P00390000,2025-12-06 15:29:00,390,13.85,14.65,15.65,0.00,0.00%,-,3,12.50%
MSFT250620P00395000,6/17/2025 11:15 AM,395,18.66,16.35,18.15,2.41,14.83%,5,3,14.01%
MSFT250620P00400000,6/16/2025 12:53 PM,400,20.01,20.65,23.05,0.00,0.00%,1,4,15.77%
MSFT250620P00405000,6/16/2025 11:56 AM,405,29.80,30.05,33.60,0.00,0.00%,4,4,26.82%
MSFT250620P00407500,6/16/2025 10:12 AM,407.5,34.50,35.25,38.45,0.00,0.00%,1,0,28.38%
MSFT250620P00410000,2025-11-06 09:34:00,410,49.63,40.15,43.40,0.00,0.00%,-,-,30.62%
MSFT250620P00412500,2025-12-06 15:20:00,412.5,48.85,50.50,53.40,0.00,0.00%,-,-,35.86%
MSFT250620P00415000,5/21/2025 1:34 PM,415,146.09,120.25,123.40,0.00,0.00%,-,0,67.33%
