Calls,"Jun 17, 2025 8:18pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA250919C00005000,2025-12-06 13:46:00,5,139.61,138.75,139.95,0.00,0.00%,2.024,3.44,228.13%
NVDA250919C00010000,6/13/2025 2:44 PM,10,131.24,133.30,136.65,0.00,0.00%,8,8,289.65%
NVDA250919C00015000,6/16/2025 3:02 PM,15,130.30,128.50,131.70,0.00,0.00%,30,38,249.51%
NVDA250919C00020000,2025-11-06 11:38:00,20,124.33,123.85,125.65,0.00,0.00%,10,196,194.14%
NVDA250919C00025000,2025-11-06 12:04:00,25,119.50,118.90,121.15,0.00,0.00%,1,56,187.40%
NVDA250919C00030000,6/13/2025 3:00 PM,30,112.29,114.20,116.40,0.00,0.00%,78,318,178.91%
NVDA250919C00035000,6/16/2025 3:15 PM,35,110.39,108.80,111.35,0.00,0.00%,10,56,153.76%
NVDA250919C00039000,2025-04-06 15:51:00,39,103.00,105.60,107.20,0.00,0.00%,1,384,152.78%
NVDA250919C00040000,6/16/2025 9:30 AM,40,103.45,104.15,105.60,0.00,0.00%,1,841,132.23%
NVDA250919C00041000,5/19/2025 10:17 AM,41,95.60,103.15,104.55,0.00,0.00%,1,80,128.76%
NVDA250919C00042000,5/29/2025 11:15 AM,42,99.50,102.40,103.65,0.00,0.00%,10,40,133.06%
NVDA250919C00043000,5/28/2025 9:30 AM,43,93.65,100.75,103.75,0.00,0.00%,1,25,137.79%
NVDA250919C00044000,2025-07-04 11:19:00,44,53.15,73.15,74.30,0.00,0.00%,1,2,0.00%
NVDA250919C00045000,2025-12-06 09:55:00,45,98.93,98.90,100.60,0.00,0.00%,1,391,115.53%
NVDA250919C00046000,2025-09-06 09:42:00,46,97.96,98.00,99.75,0.00,0.00%,3,60,118.56%
NVDA250919C00047000,2025-07-04 10:37:00,47,48.20,70.30,71.10,0.00,0.00%,25,54,0.00%
NVDA250919C00048000,2025-10-06 10:00:00,48,95.07,96.55,98.45,0.00,0.00%,4,62,132.32%
NVDA250919C00049000,5/29/2025 9:51 AM,49,93.40,95.35,97.35,0.00,0.00%,2,86,126.42%
NVDA250919C00050000,6/17/2025 11:10 AM,50,95.46,95.05,95.80,0.07,0.07%,1,781,126.07%
NVDA250919C00052000,4/25/2025 10:51 AM,52,57.50,79.85,80.85,0.00,0.00%,10,222,0.00%
NVDA250919C00054000,6/16/2025 1:48 PM,54,91.99,91.00,92.05,0.00,0.00%,8,105,119.82%
NVDA250919C00055000,2025-10-06 09:59:00,55,88.50,89.40,90.75,0.00,0.00%,4,912,107.18%
NVDA250919C00056000,2025-11-06 12:09:00,56,88.62,88.25,90.55,0.00,0.00%,10,195,113.16%
NVDA250919C00058000,2025-11-06 14:39:00,58,85.71,86.95,88.00,0.00,0.00%,1,208,110.94%
NVDA250919C00060000,6/17/2025 9:44 AM,60,85.20,84.65,85.85,1.45,1.73%,12,770,102.49%
NVDA250919C00062000,6/13/2025 11:03 AM,62,81.25,83.15,84.55,0.00,0.00%,10,214,110.35%
NVDA250919C00064000,2025-04-06 14:56:00,64,78.60,80.80,83.10,0.00,0.00%,3,61,108.30%
NVDA250919C00065000,6/13/2025 9:48 AM,65,79.08,80.20,81.25,0.00,0.00%,1,684,102.88%
NVDA250919C00066000,2025-03-06 09:48:00,66,74.50,79.00,80.25,0.00,0.00%,1,785,99.49%
NVDA250919C00068000,2025-03-06 11:58:00,68,74.60,77.10,78.50,0.00,0.00%,2,390,98.97%
NVDA250919C00070000,6/17/2025 10:21 AM,70,76.20,74.80,76.70,3.43,4.71%,1,672,94.90%
NVDA250919C00072000,2025-09-06 10:36:00,72,74.00,73.50,74.35,0.00,0.00%,1,1.636,94.24%
NVDA250919C00074000,2025-09-06 15:52:00,74,69.83,71.15,72.00,0.00,0.00%,20,321,85.99%
NVDA250919C00075000,2025-12-06 09:34:00,75,69.62,70.45,71.05,0.00,0.00%,1,730,87.09%
NVDA250919C00076000,2025-04-06 15:03:00,76,66.90,69.30,70.75,0.00,0.00%,6,5.164,89.31%
NVDA250919C00078000,6/13/2025 9:42 AM,78,66.19,67.15,68.30,0.00,0.00%,1,1.346,82.30%
NVDA250919C00080000,6/17/2025 1:27 PM,80,66.36,65.65,66.45,-0.14,-0.21%,48,18.505,83.59%
NVDA250919C00082000,2025-05-06 11:15:00,82,62.31,63.00,64.55,0.00,0.00%,5,608,77.27%
NVDA250919C00084000,6/16/2025 10:49 AM,84,61.70,61.10,62.75,0.00,0.00%,1,298,76.37%
NVDA250919C00085000,6/17/2025 10:40 AM,85,60.83,60.45,61.50,-1.20,-1.93%,1,2.065,75.56%
NVDA250919C00086000,2025-12-06 15:14:00,86,60.00,60.00,60.55,0.00,0.00%,2,604,77.49%
NVDA250919C00088000,2025-12-06 11:01:00,88,58.25,57.75,58.90,0.00,0.00%,3,395,75.22%
NVDA250919C00090000,6/17/2025 12:55 PM,90,56.02,56.00,56.70,-0.25,-0.44%,13,5.937,72.71%
NVDA250919C00092000,6/17/2025 11:40 AM,92,54.30,54.15,54.45,0.01,0.02%,10,1.143,69.53%
NVDA250919C00094000,6/17/2025 11:36 AM,94,52.90,51.80,52.90,0.90,1.73%,3,406,67.36%
NVDA250919C00095000,6/16/2025 3:46 PM,95,51.65,51.25,52.00,0.00,0.00%,976,2.683,68.51%
NVDA250919C00096000,6/16/2025 2:34 PM,96,50.90,50.40,51.20,0.00,0.00%,3,3.388,68.65%
NVDA250919C00098000,6/17/2025 11:14 AM,98,49.10,48.25,49.10,0.15,0.31%,2,1.51,64.97%
NVDA250919C00100000,6/17/2025 1:45 PM,100,47.05,46.70,47.10,0.10,0.21%,797,39.961,64.14%
NVDA250919C00102000,6/16/2025 11:50 AM,102,46.00,44.50,45.50,0.00,0.00%,93,4.204,62.28%
NVDA250919C00104000,6/17/2025 1:21 PM,104,43.49,42.70,43.65,-0.06,-0.14%,1,2.708,60.94%
NVDA250919C00105000,6/17/2025 10:58 AM,105,42.70,41.80,42.65,-0.08,-0.19%,2,8.437,59.99%
NVDA250919C00106000,6/17/2025 10:57 AM,106,41.29,41.20,41.90,0.09,0.22%,1,2.995,60.88%
NVDA250919C00108000,6/17/2025 1:35 PM,108,40.00,39.45,40.15,0.02,0.05%,14,3.239,59.83%
NVDA250919C00110000,6/17/2025 1:38 PM,110,38.27,37.85,37.95,0.30,0.79%,51,15.407,57.79%
NVDA250919C00112000,6/17/2025 1:22 PM,112,36.50,36.10,36.30,-1.00,-2.67%,4,4.28,56.90%
NVDA250919C00114000,6/17/2025 1:05 PM,114,34.40,34.35,34.60,-0.85,-2.41%,4,4.841,55.75%
NVDA250919C00115000,6/17/2025 1:05 PM,115,33.60,33.45,33.70,0.05,0.15%,55,18.317,54.96%
NVDA250919C00116000,6/17/2025 12:09 PM,116,33.33,32.75,33.00,0.56,1.71%,3,2.895,55.18%
NVDA250919C00118000,6/16/2025 3:31 PM,118,31.46,31.15,31.30,0.00,0.00%,77,5.921,54.21%
NVDA250919C00120000,6/17/2025 1:30 PM,120,29.75,29.50,29.65,0.30,1.02%,670,25.638,53.15%
NVDA250919C00122000,6/17/2025 1:15 PM,122,28.25,28.05,28.20,0.25,0.89%,62,9.059,52.89%
NVDA250919C00124000,6/17/2025 12:16 PM,124,26.66,26.40,26.55,-0.04,-0.15%,12,3.244,51.60%
NVDA250919C00125000,6/17/2025 1:46 PM,125,25.70,25.70,25.85,0.25,0.98%,34,51.181,51.45%
NVDA250919C00126000,6/17/2025 1:35 PM,126,25.29,25.05,25.15,0.22,0.88%,21,5.924,51.37%
NVDA250919C00128000,6/17/2025 1:37 PM,128,23.94,23.60,23.70,-0.01,-0.04%,66,8.354,50.68%
NVDA250919C00130000,6/17/2025 1:38 PM,130,22.47,22.25,22.35,0.37,1.67%,187,63.327,50.24%
NVDA250919C00132000,6/17/2025 12:01 PM,132,20.89,20.80,20.90,-0.43,-2.02%,25,4.277,49.48%
NVDA250919C00134000,6/17/2025 1:33 PM,134,19.70,19.50,19.60,0.33,1.70%,48,3.214,48.94%
NVDA250919C00135000,6/17/2025 1:05 PM,135,19.05,18.80,18.90,0.28,1.49%,421,22.339,48.44%
NVDA250919C00136000,6/17/2025 12:33 PM,136,18.31,18.25,18.35,0.27,1.50%,27,3.698,48.44%
NVDA250919C00137000,6/17/2025 1:40 PM,137,17.73,17.55,17.70,0.38,2.19%,5,2.765,48.05%
NVDA250919C00138000,6/17/2025 10:58 AM,138,17.05,17.00,17.10,0.05,0.29%,65,5.513,47.80%
NVDA250919C00139000,6/17/2025 1:42 PM,139,16.58,16.40,16.50,0.13,0.79%,51,3.136,47.52%
NVDA250919C00140000,6/17/2025 1:45 PM,140,15.97,15.80,15.95,0.27,1.72%,2.162,26.252,47.36%
NVDA250919C00141000,6/17/2025 12:57 PM,141,15.15,15.30,15.40,-0.05,-0.33%,30,7.96,47.18%
NVDA250919C00142000,6/17/2025 1:46 PM,142,14.80,14.65,14.75,0.14,0.95%,96,18.002,46.61%
NVDA250919C00144000,6/17/2025 1:46 PM,144,13.70,13.70,13.75,0.09,0.66%,177,5.543,46.39%
NVDA250919C00145000,6/17/2025 1:44 PM,145,13.25,13.10,13.15,0.25,1.92%,514,25.016,45.88%
NVDA250919C00146000,6/17/2025 12:37 PM,146,12.60,12.60,12.70,0.05,0.40%,155,4.712,45.84%
NVDA250919C00148000,6/17/2025 1:39 PM,148,11.85,11.65,11.75,0.32,2.78%,88,8.63,45.49%
NVDA250919C00150000,6/17/2025 1:40 PM,150,10.87,10.75,10.80,0.18,1.68%,4.281,58.988,44.98%
NVDA250919C00152000,6/17/2025 1:43 PM,152,10.05,9.90,9.95,0.10,1.01%,186,5.519,44.65%
NVDA250919C00154000,6/17/2025 1:29 PM,154,9.30,9.10,9.15,0.15,1.64%,136,2.738,44.35%
NVDA250919C00155000,6/17/2025 1:43 PM,155,8.85,8.75,8.85,0.15,1.72%,848,35.48,44.49%
NVDA250919C00156000,6/17/2025 12:13 PM,156,8.50,8.35,8.45,-0.10,-1.16%,38,4.314,44.24%
NVDA250919C00158000,6/17/2025 1:29 PM,158,7.82,7.65,7.75,0.07,0.90%,248,30.995,43.98%
NVDA250919C00160000,6/17/2025 1:25 PM,160,7.20,7.05,7.10,0.22,3.15%,794,79.344,43.76%
NVDA250919C00162000,6/17/2025 1:31 PM,162,6.52,6.45,6.50,0.15,2.35%,93,7.796,43.56%
NVDA250919C00164000,6/17/2025 1:11 PM,164,5.97,5.85,5.90,0.15,2.58%,5,3.379,43.23%
NVDA250919C00165000,6/17/2025 1:42 PM,165,5.65,5.55,5.65,0.12,2.17%,251,24.916,43.19%
NVDA250919C00166000,6/17/2025 1:05 PM,166,5.33,5.40,5.45,0.01,0.19%,13,3.176,43.31%
NVDA250919C00168000,6/17/2025 1:21 PM,168,4.95,4.90,4.95,0.10,2.06%,58,3.391,43.08%
NVDA250919C00170000,6/17/2025 1:33 PM,170,4.52,4.45,4.55,0.09,2.03%,735,22.569,43.11%
NVDA250919C00175000,6/17/2025 1:33 PM,175,3.58,3.50,3.55,0.08,2.29%,2.614,62.483,42.63%
NVDA250919C00180000,6/17/2025 1:24 PM,180,2.84,2.75,2.78,0.08,2.90%,1.351,13.518,42.40%
NVDA250919C00185000,6/17/2025 1:31 PM,185,2.21,2.18,2.21,0.03,1.38%,80,56.384,42.47%
NVDA250919C00190000,6/17/2025 1:08 PM,190,1.75,1.73,1.75,0.02,1.16%,22,23.782,42.54%
NVDA250919C00195000,6/17/2025 12:07 PM,195,1.40,1.38,1.40,-0.04,-2.78%,23,4.373,42.76%
NVDA250919C00200000,6/17/2025 1:31 PM,200,1.12,1.09,1.12,-0.02,-1.75%,134,18.634,42.99%
NVDA250919C00205000,6/17/2025 1:04 PM,205,0.89,0.89,0.91,-0.07,-7.29%,12,9.94,43.36%
NVDA250919C00210000,6/17/2025 11:54 AM,210,0.72,0.73,0.75,-0.01,-1.37%,40,1.939,43.82%
NVDA250919C00212000,6/13/2025 10:33 AM,212,0.65,0.66,0.68,0.00,0.00%,16,1.413,43.85%
NVDA250919C00213000,6/16/2025 9:56 AM,213,0.61,0.64,0.66,0.00,0.00%,1,363,43.99%
NVDA250919C00214000,6/13/2025 2:03 PM,214,0.62,0.62,0.64,0.00,0.00%,2,469,44.14%
NVDA250919C00215000,6/17/2025 10:39 AM,215,0.59,0.59,0.61,-0.01,-1.67%,11,3.972,44.17%
NVDA250919C00216000,6/16/2025 3:51 PM,216,0.58,0.57,0.59,0.00,0.00%,1,304,44.29%
NVDA250919C00217000,6/13/2025 3:50 PM,217,0.53,0.55,0.57,0.00,0.00%,2,666,44.41%
NVDA250919C00218000,6/16/2025 11:46 AM,218,0.58,0.52,0.54,0.00,0.00%,2,401,44.36%
NVDA250919C00219000,6/16/2025 9:53 AM,219,0.47,0.51,0.53,0.00,0.00%,3,1.539,44.61%
NVDA250919C00220000,6/16/2025 12:24 PM,220,0.50,0.48,0.51,-0.05,-9.09%,29,5.553,44.68%
NVDA250919C00221000,2025-09-06 09:33:00,221,0.62,0.47,0.49,0.00,0.00%,2,212,44.75%
NVDA250919C00222000,5/29/2025 10:15 AM,222,0.81,0.45,0.47,0.00,0.00%,1,390,44.80%
NVDA250919C00223000,2025-09-06 09:30:00,223,0.53,0.44,0.45,0.00,0.00%,4,189,44.85%
NVDA250919C00224000,2025-12-06 14:57:00,224,0.50,0.42,0.44,0.00,0.00%,3,357,45.04%
NVDA250919C00225000,6/16/2025 11:10 AM,225,0.44,0.41,0.42,0.00,0.00%,1,1.963,45.07%
NVDA250919C00226000,6/17/2025 9:30 AM,226,0.41,0.39,0.41,0.00,0.00%,1,93,45.24%
NVDA250919C00227000,6/17/2025 12:00 PM,227,0.38,0.38,0.40,0.00,0.00%,3,219,45.41%
NVDA250919C00228000,6/13/2025 3:59 PM,228,0.37,0.36,0.38,0.00,0.00%,1,321,45.39%
NVDA250919C00230000,6/16/2025 11:11 AM,230,0.37,0.34,0.36,0.00,0.00%,26,1.375,45.70%
NVDA250919C00235000,6/17/2025 10:30 AM,235,0.29,0.29,0.30,-0.02,-6.45%,9,664,46.09%
NVDA250919C00240000,6/16/2025 1:40 PM,240,0.27,0.25,0.26,0.00,0.00%,3,13.869,46.73%
NVDA250919C00245000,6/16/2025 11:46 AM,245,0.20,0.21,0.22,-0.03,-13.04%,1,343,47.17%
NVDA250919C00250000,6/17/2025 9:33 AM,250,0.18,0.18,0.19,-0.01,-5.26%,42,7.701,47.66%
NVDA250919C00255000,6/17/2025 9:34 AM,255,0.15,0.15,0.17,-0.01,-6.25%,1,442,48.39%
NVDA250919C00260000,6/17/2025 12:29 PM,260,0.13,0.13,0.15,-0.01,-7.14%,2,6.235,49.02%
NVDA250919C00265000,6/17/2025 12:46 PM,265,0.12,0.12,0.13,0.00,0.00%,3,3.201,49.41%
NVDA250919C00270000,6/13/2025 3:09 PM,270,0.11,0.10,0.12,0.00,0.00%,12,1.669,50.29%
NVDA250919C00275000,6/16/2025 12:14 PM,275,0.11,0.09,0.10,0.00,0.00%,4,6.024,50.10%
NVDA250919C00280000,6/17/2025 10:47 AM,280,0.07,0.07,0.09,-0.01,-12.50%,2,6.429,50.39%
NVDA250919C00290000,6/17/2025 12:49 PM,290,0.06,0.06,0.07,-0.01,-14.29%,20,18.118,51.47%
NVDA250919C00300000,6/17/2025 10:02 AM,300,0.06,0.05,0.06,0.00,0.00%,1,26.123,52.73%
NVDA250919C00390000,5/21/2024 11:46 AM,390,594.58,843.70,859.60,0.00,0.00%,10,14,0.00%
NVDA250919C00400000,2024-03-06 12:23:00,400,765.13,836.45,850.60,0.00,0.00%,1,7,0.00%
NVDA250919C00450000,5/22/2024 9:43 AM,450,542.09,792.15,806.40,0.00,0.00%,1,1,0.00%
NVDA250919C00470000,2024-05-06 13:25:00,470,779.15,774.55,788.50,0.00,0.00%,1,2,0.00%
NVDA250919C00500000,2024-07-06 13:19:00,500,761.66,748.45,762.35,62.01,8.86%,1,16,0.00%
NVDA250919C00520000,2024-05-06 14:47:00,520,745.60,731.30,745.25,745.60,-,-,1,0.00%
NVDA250919C00540000,5/29/2024 1:34 PM,540,659.67,714.25,728.25,0.00,0.00%,-,1,0.00%
NVDA250919C00560000,4/19/2024 2:36 PM,560,320.50,432.90,440.35,0.00,0.00%,2,2,0.00%
NVDA250919C00580000,2024-05-06 13:19:00,580,688.16,680.75,694.70,0.00,0.00%,1,8,0.00%
NVDA250919C00600000,2024-04-06 13:25:00,600,613.10,664.25,678.30,0.00,0.00%,4,11,0.00%
NVDA250919C00620000,2024-04-06 15:45:00,620,610.57,648.00,661.55,0.00,0.00%,1,7,0.00%
NVDA250919C00640000,5/23/2024 3:58 PM,640,476.80,631.90,645.60,0.00,0.00%,1,1,0.00%
NVDA250919C00660000,2024-07-06 13:05:00,660,628.37,616.35,629.35,8.69,1.40%,14,16,0.00%
NVDA250919C00680000,4/25/2024 1:12 PM,680,281.00,462.00,481.65,0.00,0.00%,-,1,0.00%
NVDA250919C00700000,5/31/2024 12:02 PM,700,484.81,585.30,596.50,0.00,0.00%,3,8,0.00%
NVDA250919C00720000,2024-06-06 09:52:00,720,588.61,570.60,582.90,0.00,0.00%,20,22,0.00%
NVDA250919C00740000,5/21/2024 10:54 AM,740,334.88,555.60,569.00,0.00,0.00%,2,3,0.00%
NVDA250919C00760000,2024-07-06 13:28:00,760,551.05,542.70,552.85,-7.65,-1.37%,2,582,0.00%
NVDA250919C00780000,2024-05-06 10:19:00,780,518.88,528.55,537.80,0.00,0.00%,1,146,0.00%
NVDA250919C00800000,2024-07-06 13:28:00,800,522.55,513.75,523.85,3.44,0.66%,2,161,0.00%
NVDA250919C00820000,5/30/2024 11:09 AM,820,440.00,499.65,511.55,0.00,0.00%,4,66,0.00%
NVDA250919C00840000,2024-05-06 10:42:00,840,483.00,486.90,498.15,0.00,0.00%,2,8,0.00%
NVDA250919C00860000,5/31/2024 3:05 PM,860,375.50,472.75,482.60,0.00,0.00%,11,32,0.00%
NVDA250919C00880000,2024-06-06 09:49:00,880,471.90,459.65,471.55,0.00,0.00%,1,25,0.00%
NVDA250919C00900000,2024-07-06 10:22:00,900,437.45,447.30,457.75,-9.85,-2.20%,1,27,0.00%
NVDA250919C00920000,2024-06-06 09:55:00,920,435.00,434.70,444.75,0.00,0.00%,20,34,0.00%
NVDA250919C00940000,2024-06-06 15:38:00,940,426.49,422.50,432.70,0.00,0.00%,10,36,0.00%
NVDA250919C00960000,2024-05-06 13:11:00,960,415.86,411.70,422.35,0.00,0.00%,2,61,0.00%
NVDA250919C00980000,2024-04-06 13:49:00,980,357.05,399.30,408.00,0.00,0.00%,1,99,0.00%
NVDA250919C01000000,2024-07-06 10:10:00,1000,384.00,388.05,399.65,-9.00,-2.29%,2,134,0.00%
NVDA250919C01020000,5/31/2024 12:08 PM,1020,290.45,380.65,385.70,0.00,0.00%,2,80,0.00%
NVDA250919C01040000,2024-07-06 15:18:00,1040,368.44,369.95,374.85,3.60,0.99%,2,110,0.00%
NVDA250919C01060000,2024-07-06 15:25:00,1060,361.38,359.40,364.45,13.28,3.82%,1,21,0.00%
NVDA250919C01080000,2024-07-06 13:08:00,1080,354.40,349.20,354.30,11.11,3.24%,20,55,0.00%
NVDA250919C01100000,2024-07-06 14:44:00,1100,339.83,339.45,344.05,1.03,0.30%,3,386,0.00%
NVDA250919C01120000,2024-04-06 14:50:00,1120,300.00,329.55,334.55,0.00,0.00%,2,11,0.00%
NVDA250919C01140000,2024-07-06 14:54:00,1140,322.00,320.10,325.00,10.00,3.21%,2,45,0.00%
NVDA250919C01160000,2024-06-06 11:08:00,1160,320.20,310.85,316.00,0.00,0.00%,1,15,0.00%
NVDA250919C01180000,2024-07-06 14:42:00,1180,304.47,302.00,306.95,6.37,2.14%,11,27,0.00%
NVDA250919C01200000,2024-07-06 15:59:00,1200,295.57,293.35,297.95,-2.93,-0.98%,7,167,0.00%
NVDA250919C01220000,2024-07-06 14:42:00,1220,286.95,284.70,289.55,2.95,1.04%,11,109,0.00%
NVDA250919C01240000,2024-07-06 12:51:00,1240,276.89,276.35,281.45,-0.11,-0.04%,1,69,0.00%
NVDA250919C01260000,2024-07-06 15:51:00,1260,270.49,268.55,273.35,1.34,0.50%,1,72,0.00%
NVDA250919C01280000,2024-06-06 09:56:00,1280,258.60,260.45,265.45,0.00,0.00%,1,7,0.00%
NVDA250919C01300000,2024-07-06 14:51:00,1300,253.00,253.20,257.60,-0.15,-0.06%,11,286,0.00%
NVDA250919C01320000,2024-05-06 10:44:00,1320,241.13,245.70,250.55,0.00,0.00%,3,4,0.00%
NVDA250919C01340000,2024-06-06 15:12:00,1340,240.21,238.60,243.20,0.00,0.00%,13,17,0.00%
NVDA250919C01360000,2024-05-06 14:44:00,1360,238.83,231.65,236.05,0.00,0.00%,2,11,0.00%
NVDA250919C01370000,2024-06-06 10:06:00,1370,236.43,228.05,232.90,0.00,0.00%,1,3,0.00%
NVDA250919C01380000,2024-06-06 13:46:00,1380,223.52,224.80,229.80,0.00,0.00%,27,61,0.00%
NVDA250919C01390000,5/31/2024 12:21 PM,1390,155.05,221.55,226.35,0.00,0.00%,2,5,0.00%
NVDA250919C01400000,2024-07-06 12:14:00,1400,217.00,218.60,222.90,-8.24,-3.66%,3,100,0.00%
NVDA250919C01410000,2024-06-06 09:49:00,1410,224.86,215.35,220.05,0.00,0.00%,1,75,0.00%
NVDA250919C01420000,2024-06-06 13:11:00,1420,208.97,212.05,216.00,0.00,0.00%,2,61,0.00%
NVDA250919C01440000,2024-06-06 13:17:00,1440,203.25,205.90,210.60,0.00,0.00%,20,21,0.00%
NVDA250919C01460000,2024-05-06 13:37:00,1460,203.80,200.00,204.65,0.00,0.00%,4,4,0.00%
NVDA250919C01500000,2024-07-06 14:34:00,1500,188.95,188.75,192.35,1.14,0.61%,12,62,0.00%
NVDA250919C01520000,2024-05-06 12:56:00,1520,184.25,183.60,186.95,0.00,0.00%,2,3,0.00%
NVDA250919C01540000,2024-06-06 13:16:00,1540,175.49,177.65,181.65,175.49,-,-,2,0.00%
NVDA250919C01560000,2024-06-06 14:01:00,1560,172.37,172.50,176.45,0.00,0.00%,12,16,0.00%
NVDA250919C01580000,2024-05-06 11:15:00,1580,165.28,168.15,171.40,0.00,0.00%,1,14,0.00%
NVDA250919C01600000,2024-06-06 10:25:00,1600,166.80,163.00,166.25,0.00,0.00%,21,22,0.00%
NVDA250919C01620000,2024-06-06 13:48:00,1620,157.67,158.65,161.85,0.00,0.00%,1,2,0.00%
NVDA250919C01640000,2024-06-06 12:24:00,1640,154.13,154.05,157.30,0.00,0.00%,35,37,0.00%
NVDA250919C01660000,2024-07-06 09:31:00,1660,145.86,149.65,152.70,-6.54,-4.29%,1,13,0.00%
NVDA250919C01680000,2024-06-06 13:46:00,1680,145.16,144.70,148.60,145.16,-,-,27,0.00%
NVDA250919C01950000,2024-07-06 09:48:00,1950,99.00,99.05,101.50,1.40,1.43%,3,11,639.00%
NVDA250919C02000000,2024-07-06 10:50:00,2000,92.10,92.35,94.95,2.10,2.33%,9,47,610.41%
NVDA250919C02050000,2024-05-06 13:33:00,2050,88.60,86.10,88.80,0.00,0.00%,1,1,585.93%
NVDA250919C02100000,2024-07-06 09:57:00,2100,81.00,80.85,83.15,2.00,2.53%,1,22,565.94%
NVDA250919C02120000,2024-06-06 10:17:00,2120,78.95,78.20,80.90,0.00,0.00%,1,187,557.20%
NVDA250919C02130000,5/30/2024 3:19 PM,2130,62.00,77.50,79.95,0.00,0.00%,1,1,554.41%
NVDA250919C02150000,2024-06-06 14:58:00,2150,76.83,75.55,77.90,0.00,0.00%,7,9,547.57%
